covariates_only,core1_ptau217,core2_ptau217_ab,core3,core4_hypothesis,core5_hypothesis,gfap_nfl_only,full_panel,full_panel_enet,broad_no_ptau,discovery_only,extras_only,oracle_core5,rep,n_train,prevalence,n_extra,n_informative,d_extra,rho_core_extra,rho_extra,condition
0.7757511568061964,0.9345880210927373,0.9449344544739684,0.9398129318902921,0.939670616520396,0.9380122618614368,0.801342293131313,0.8683692672415745,0.9218922760332342,0.7922040469018271,0.7285227847678039,0.7109211581522666,0.9285246949626924,0,100,0.2,120,8,0.35,0.15,0.15,0
0.7312224729477126,0.9280252016354252,0.9413862388942261,0.9365159086564837,0.9380356526682405,0.9420223369105158,0.7782268991214678,0.8411826299366235,0.9005499576745584,0.7357367233405572,0.654648127874965,0.6337002862242479,0.9285246949626924,1,100,0.2,120,8,0.35,0.15,0.15,0
0.7682227577485069,0.9303888817999961,0.941620594515561,0.9415041364415819,0.9411508867429729,0.9422269128408203,0.8024738330237312,0.8557457478027742,0.9013203845906784,0.7836516116993277,0.6928412485584438,0.6643896303483152,0.9285246949626924,2,100,0.2,120,8,0.35,0.15,0.15,0
0.7765840986673108,0.9214711193180789,0.9371454847160404,0.9366479703983341,0.9360538598245901,0.9312654177361771,0.812314927822638,0.8821718481305331,0.9220483715683018,0.8143199056786488,0.7306045714541496,0.7086363350547232,0.9285246949626924,3,100,0.2,120,8,0.35,0.15,0.15,0
0.7700233058264566,0.9288261065266317,0.9420521130282571,0.9330444611152788,0.9329155288822205,0.9366305576394098,0.781067166791698,0.7921699424856214,0.8296893223305827,0.7181645411352838,0.6473802450612653,0.6273150287571893,0.9285246949626924,4,100,0.2,120,8,0.35,0.15,0.15,0
0.7717748251542516,0.9280720808453213,0.9438449982234304,0.940516558724882,0.9360515885415356,0.9409527290311224,0.7762550978268392,0.8464025970397483,0.8951046942014722,0.7646623268807179,0.6947576929809259,0.6659033192678776,0.9285246949626924,5,100,0.2,120,8,0.35,0.15,0.15,0
0.769872295454377,0.9248199636356399,0.9380091664100711,0.9333153228673599,0.9330578493044994,0.9374888532191903,0.7854482264471693,0.8427947794235012,0.8995310644439058,0.7667756855977543,0.7071703118835123,0.6897577231336728,0.9285246949626924,6,100,0.2,120,8,0.35,0.15,0.15,0
0.7638129532383096,0.9162974743685921,0.9288107026756689,0.9260037009252313,0.9270263565891473,0.9352082020505126,0.7877710427606902,0.8661108277069267,0.912339584896224,0.8050442610652663,0.7387035758939735,0.7032591147786946,0.9285246949626924,7,100,0.2,120,8,0.35,0.15,0.15,0
0.7747287184453302,0.9305627177263311,0.9424825221070711,0.9420931538041888,0.9411674157784843,0.944726978050033,0.7963701386430324,0.8443300839772454,0.8888799087224649,0.7777074982144598,0.6700745422140542,0.656777941665815,0.9285246949626924,8,100,0.2,120,8,0.35,0.15,0.15,0
0.7695328088647029,0.9324807760558381,0.9417401119917977,0.9371623486730549,0.9372277100832052,0.9386462399936906,0.7861631964982846,0.8060275444615324,0.8718667928546079,0.7015086359872235,0.618222721716156,0.5881874285263614,0.9285246949626924,9,100,0.2,120,8,0.35,0.15,0.15,0
0.7462702170296002,0.913011535065652,0.9234366641989569,0.9234906302116078,0.9233352235970799,0.9308198348058692,0.7694875195602574,0.8276263548303118,0.8785868384355437,0.7516692404676112,0.6660342857607915,0.6475509748713124,0.9285246949626924,10,100,0.2,120,8,0.35,0.15,0.15,0
0.741204074768069,0.9193255817921229,0.92629211336965,0.9124113778358306,0.9053682134578064,0.909245318465045,0.7359260382910466,0.8171333594685496,0.8440195581394662,0.7339190023705652,0.6328986709451407,0.6259980016376925,0.9285246949626924,11,100,0.2,120,8,0.35,0.15,0.15,0
0.7610234668304425,0.9265400045566661,0.9373541619201394,0.9373961624946756,0.9347007954354093,0.9393401749363552,0.7392714287129399,0.8295810838921853,0.8829014076135947,0.7415938425572802,0.6315983001654268,0.612732910025656,0.9285246949626924,12,100,0.2,120,8,0.35,0.15,0.15,0
0.6386998688568981,0.903829343150961,0.9225896551235547,0.9206590137660898,0.9180163739955667,0.9267420936295625,0.6678910166188066,0.7831588956900678,0.8502118087042495,0.6684529600871558,0.5837588989961964,0.5655813905891836,0.9285246949626924,13,100,0.2,120,8,0.35,0.15,0.15,0
